num;Russian;suf1;suf2;English
1;один;;а;one
2;два;а;и;two
3;три;а;и;three
4;четыре;а;и;four
5;пять;ов;;five
6;шесть;ов;;six
7;семь;ов;;seven
8;восемь;ов;;eight
9;девять;ов;;nine
10;десять;ов;;ten
11;одиннадцать;ов;;eleven
12;двенадцать;ов;;twelve 
13;тринадцать;ов;;thirteen
14;четырнадцать;ов;;fourteen
15;пятнадцать;ов;;fifteen
16;шестнадцать;ов;;sixteen
17;семнадцать;ов;;seventeen
18;восемнадцать;ов;;eighteen
19;десятнадцать;ов;;nineteen 
20;двадцать;ов;;twenty
30;тридцать;ов;;thirty
40;сорок;ов;;forty
50;пятьдесят;ов;;fifty
60;шестьдесят;ов;;sixty
70;семьдесят;ов;;seventy
80;восемьдесят;ов;;eighty
90;девяносто;ов;;ninety 
100;сто;ов;;one hundred
200;двести;ов;;two hundred
300;триста;ов;;three hundred
400;четыреста;ов;;four hundred
500;пятьсот;ов;;five hundred
600;шестьсот;ов;;six hundred
700;семьсот;ов;;seven hundred
800;восемьсот;ов;;eight hundred
900;девятьсот;ов;;nine hundred
